ID,ch,freq,Group
3,100,1,A
4,100,1,A
7,001,1,A
8,010,1,A
11,010,1,A
13,001,1,A
15,100,1,A
18,100,1,A
20,110,1,A
23,011,1,A
26,101,1,A
27,001,1,A
28,100,1,A
29,100,1,A
35,011,1,A
38,001,1,A
39,100,1,A
41,010,1,A
47,001,1,A
48,001,1,A
49,010,1,A
51,010,1,A
53,100,1,A
54,010,1,A
55,001,1,A
56,001,1,A
57,001,1,A
59,001,1,A
60,100,1,A
64,100,1,A
65,001,1,A
68,100,1,A
73,100,1,A
76,100,1,A
78,001,1,A
79,101,1,A
82,010,1,A
83,010,1,A
85,010,1,A
86,100,1,A
87,010,1,A
88,001,1,A
91,100,1,A
92,001,1,A
93,010,1,A
94,010,1,A
95,001,1,A
98,010,1,A
99,100,1,A
100,001,1,A
103,001,1,A
104,010,1,A
106,010,1,A
109,001,1,A
111,010,1,A
112,001,1,A
115,100,1,A
119,110,1,A
120,010,1,A
121,010,1,A
122,100,1,A
127,100,1,A
130,100,1,A
132,010,1,A
133,010,1,A
138,001,1,A
145,100,1,A
151,100,1,A
152,100,1,A
153,100,1,A
155,010,1,A
161,001,1,A
163,100,1,A
166,100,1,A
172,100,1,A
173,010,1,A
175,110,1,A
179,010,1,A
181,010,1,A
183,011,1,A
184,100,1,A
190,001,1,A
193,001,1,A
194,100,1,A
195,010,1,A
196,100,1,A
197,010,1,A
198,001,1,A
199,100,1,A
200,001,1,A
201,001,1,A
203,100,1,A
204,110,1,A
206,100,1,A
211,110,1,A
213,100,1,A
214,100,1,A
216,001,1,A
220,001,1,A
222,100,1,A
225,011,1,A
227,010,1,A
228,010,1,A
230,010,1,A
231,100,1,A
232,001,1,A
237,010,1,A
238,100,1,A
240,010,1,A
241,001,1,A
242,001,1,A
249,110,1,B
252,100,1,B
254,110,1,B
255,001,1,B
256,101,1,B
257,011,1,B
258,101,1,B
260,100,1,B
261,100,1,B
263,100,1,B
264,010,1,B
265,101,1,B
266,010,1,B
267,001,1,B
268,001,1,B
270,010,1,B
273,100,1,B
277,010,1,B
281,100,1,B
283,100,1,B
284,110,1,B
288,100,1,B
291,010,1,B
292,001,1,B
295,010,1,B
297,001,1,B
298,100,1,B
304,010,1,B
307,100,1,B
309,001,1,B
311,010,1,B
313,100,1,B
314,110,1,B
316,100,1,B
317,001,1,B
318,011,1,B
319,100,1,B
321,010,1,B
324,010,1,B
326,001,1,B
328,010,1,B
330,100,1,B
331,100,1,B
335,100,1,B
338,100,1,B
342,001,1,B
343,100,1,B
344,001,1,B
345,001,1,B
346,011,1,B
347,101,1,B
349,100,1,B
350,100,1,B
351,011,1,B
352,010,1,B
353,100,1,B
355,010,1,B
360,101,1,B
361,100,1,B
362,100,1,B
363,100,1,B
365,100,1,B
368,001,1,B
369,100,1,B
370,100,1,B
371,001,1,B
374,100,1,B
375,001,1,B
376,100,1,B
377,010,1,B
378,100,1,C
383,010,1,C
384,010,1,C
385,010,1,C
388,001,1,C
390,100,1,C
393,110,1,C
395,100,1,C
396,100,1,C
399,101,1,C
405,100,1,C
406,010,1,C
407,100,1,C
409,100,1,C
411,100,1,C
414,010,1,C
415,101,1,C
418,001,1,C
419,010,1,C
420,010,1,C
421,001,1,C
422,100,1,C
423,001,1,C
425,100,1,C
426,101,1,C
428,100,1,C
429,100,1,C
430,011,1,C
433,100,1,C
435,001,1,C
440,010,1,C
441,100,1,C
442,001,1,C
443,100,1,C
444,001,1,C
446,100,1,C
447,100,1,C
449,100,1,C
452,101,1,C
454,001,1,C
456,010,1,C
457,100,1,C
458,010,1,C
459,110,1,C
461,100,1,C
462,010,1,C
464,100,1,C
465,001,1,C
467,010,1,C
468,010,1,C
470,010,1,C
472,100,1,C
474,110,1,C
475,100,1,C
478,101,1,C
480,010,1,C
484,001,1,C
486,100,1,C
487,100,1,C
488,100,1,C
490,010,1,C
494,010,1,C
498,100,1,C
499,001,1,C
500,100,1,C
501,010,1,C
502,100,1,C
504,010,1,C
505,100,1,C
506,010,1,C
507,100,1,C
508,100,1,C
509,001,1,C
510,100,1,C
511,100,1,C
512,100,1,C
514,100,1,C
515,100,1,C
517,100,1,C
518,100,1,C
519,100,1,C
522,100,1,C
523,001,1,C
525,100,1,C
526,100,1,C
528,100,1,C
530,010,1,C
531,101,1,C
532,010,1,C
535,100,1,C
537,100,1,C
539,100,1,C
540,110,1,C
542,100,1,C
544,001,1,C
545,100,1,C
546,010,1,C
549,101,1,C
550,001,1,C
551,100,1,C
552,100,1,C
553,100,1,C
554,010,1,C
555,010,1,C
557,010,1,C
559,001,1,C
562,100,1,C
565,100,1,C
566,010,1,C
569,011,1,C
570,010,1,C
572,100,1,C
573,010,1,C
575,010,1,C
577,101,1,C
578,010,1,C
579,010,1,C
584,100,1,C
585,100,1,C
588,110,1,C
589,010,1,C
590,110,1,C
591,100,1,C
592,010,1,C
594,010,1,C
596,001,1,C
597,001,1,C
598,100,1,C
600,100,1,C
601,001,1,C
602,100,1,C
607,101,1,C
609,100,1,C
610,100,1,C
613,100,1,C
614,100,1,C
617,100,1,C
622,010,1,C
624,100,1,C
627,100,1,C
628,001,1,C
630,001,1,C
634,001,1,C
635,100,1,C
636,110,1,C
637,100,1,C
638,100,1,C
640,100,1,C
642,001,1,C
645,100,1,C
646,010,1,C
647,100,1,C
648,101,1,C
651,100,1,C
652,110,1,C
654,101,1,C
656,100,1,C
657,010,1,C
662,100,1,C
663,010,1,C
664,100,1,C
665,100,1,C
667,001,1,C
669,100,1,C
676,010,1,C
678,001,1,C
679,001,1,C
680,100,1,C
683,010,1,C
684,001,1,C
691,010,1,C
694,010,1,C
695,001,1,C
700,100,1,C
706,001,1,C
709,001,1,C
710,100,1,C
716,001,1,C
720,001,1,C
721,100,1,C
724,001,1,C
726,110,1,C
728,010,1,C
731,100,1,C
733,001,1,C
734,010,1,C
735,100,1,C
736,001,1,C
737,001,1,C
740,100,1,C
741,001,1,C
743,011,1,C
748,111,1,C
749,001,1,C
751,101,1,C
754,100,1,C
756,010,1,C
757,001,1,C
760,001,1,C
765,010,1,C
766,010,1,C
767,100,1,C
768,001,1,C
771,100,1,C
772,001,1,C
774,110,1,C
780,101,1,C
781,001,1,C
788,100,1,C
797,010,1,C
801,101,1,C
803,100,1,C
804,100,1,C
807,010,1,C
808,110,1,C
810,100,1,C
811,010,1,C
814,100,1,C
820,100,1,C
823,100,1,C
827,110,1,C
829,100,1,C
830,100,1,C
833,010,1,C
838,010,1,C
840,010,1,C
841,101,1,C
843,010,1,C
844,001,1,C
847,100,1,C
849,100,1,C
850,001,1,C
