tag.ID,ch,ch,stock,sex
1130,BXBB,BXBW,Unalakleet,M
1275,BXBB,BXBW,Unalakleet,M
2175,BXBB,BXBW,Unalakleet,M
1035,BBBB,BWBW,Unalakleet,M
75,BB00,BW00,Unalakleet,F
110,BB00,BW00,Unalakleet,M
195,BB00,BW00,Unalakleet,M
210,BB00,BW00,Unalakleet,M
215,BB00,BW00,Unalakleet,M
275,BB00,BW00,Unalakleet,M
375,BB00,BW00,Unalakleet,M
390,BB00,BW00,Unalakleet,F
395,BB00,BW00,Unalakleet,M
415,BB00,BW00,Unalakleet,M
430,BB00,BW00,Unalakleet,F
450,BB00,BW00,Unalakleet,F
470,BB00,BW00,Unalakleet,F
490,BB00,BW00,Unalakleet,M
510,BB00,BW00,Unalakleet,F
535,BB00,BW00,Unalakleet,M
555,BB00,BW00,Unalakleet,F
570,BB00,BW00,Unalakleet,M
575,BB00,BW00,Unalakleet,M
590,BB00,BW00,Unalakleet,M
610,BB00,BW00,Unalakleet,F
630,BB00,BW00,Unalakleet,M
650,BB00,BW00,Unalakleet,F
670,BB00,BW00,Unalakleet,F
675,BB00,BW00,Unalakleet,M
690,BB00,BW00,Unalakleet,M
710,BB00,BW00,Unalakleet,M
715,BB00,BW00,Unalakleet,M
735,BB00,BW00,Unalakleet,M
770,BB00,BW00,Unalakleet,M
815,BB00,BW00,Unalakleet,F
835,BB00,BW00,Unalakleet,M
870,BB00,BW00,Unalakleet,F
890,BB00,BW00,Unalakleet,M
935,BB00,BW00,Unalakleet,M
955,BB00,BW00,Unalakleet,F
970,BB00,BW00,Unalakleet,M
995,BB00,BW00,Unalakleet,M
1015,BB00,BW00,Unalakleet,M
1030,BB00,BW00,Unalakleet,M
1070,BB00,BW00,Unalakleet,M
1075,BB00,BW00,Unalakleet,F
1090,BB00,BW00,Unalakleet,F
1095,BB00,BW00,Unalakleet,M
1110,BB00,BW00,Unalakleet,F
1135,BB00,BW00,Unalakleet,M
1210,BB00,BW00,Unalakleet,F
1215,BB00,BW00,Unalakleet,F
1235,BB00,BW00,Unalakleet,M
1310,BB00,BW00,Unalakleet,M
1350,BB00,BW00,Unalakleet,M
1370,BB00,BW00,Unalakleet,M
1390,BB00,BW00,Unalakleet,F
1450,BB00,BW00,Unalakleet,F
1455,BB00,BW00,Unalakleet,F
1470,BB00,BW00,Unalakleet,F
1495,BB00,BW00,Unalakleet,F
1510,BB00,BW00,Unalakleet,F
1515,BB00,BW00,Unalakleet,F
1535,BB00,BW00,Unalakleet,F
1575,BB00,BW00,Unalakleet,M
1615,BB00,BW00,Unalakleet,M
1630,BB00,BW00,Unalakleet,M
1650,BB00,BW00,Unalakleet,F
1730,BB00,BW00,Unalakleet,M
1735,BB00,BW00,Unalakleet,F
1755,BB00,BW00,Unalakleet,F
1770,BB00,BW00,Unalakleet,M
1775,BB00,BW00,Unalakleet,M
1795,BB00,BW00,Unalakleet,M
1815,BB00,BW00,Unalakleet,F
1855,BB00,BW00,Unalakleet,M
1870,BB00,BW00,Unalakleet,M
1875,BB00,BW00,Unalakleet,M
1915,BB00,BW00,Unalakleet,M
1955,BB00,BW00,Unalakleet,F
1970,BB00,BW00,Unalakleet,F
1975,BB00,BW00,Unalakleet,M
1995,BB00,BW00,Unalakleet,M
2010,BB00,BW00,Unalakleet,M
2015,BB00,BW00,Unalakleet,M
2030,BB00,BW00,Unalakleet,F
2090,BB00,BW00,Unalakleet,F
2115,BB00,BW00,Unalakleet,M
2130,BB00,BW00,Unalakleet,M
2135,BB00,BW00,Unalakleet,F
2150,BB00,BW00,Unalakleet,M
2155,BB00,BW00,Unalakleet,M
2170,BB00,BW00,Unalakleet,M
2215,BB00,BW00,Unalakleet,M
2235,BB00,BW00,Unalakleet,F
2290,BB00,BW00,Unalakleet,M
2315,BB00,BW00,Unalakleet,F
2330,BB00,BW00,Unalakleet,M
2335,BB00,BW00,Unalakleet,F
2350,BB00,BW00,Unalakleet,M
2375,BB00,BW00,Unalakleet,F
2395,BB00,BW00,Unalakleet,M
2475,BB00,BW00,Unalakleet,M
2495,BB00,BW00,Unalakleet,F
2515,BB00,BW00,Unalakleet,F
2555,BB00,BW00,Unalakleet,F
2575,BB00,BW00,Unalakleet,F
2615,BB00,BW00,Unalakleet,F
2715,BB00,BW00,Unalakleet,M
2735,BB00,BW00,Unalakleet,M
2775,BB00,BW00,Unalakleet,M
2795,BB00,BW00,Unalakleet,F
2815,BB00,BW00,Unalakleet,F
2855,BB00,BW00,Unalakleet,F
2935,BB00,BW00,Unalakleet,M
2955,BB00,BW00,Unalakleet,F
2975,BB00,BW00,Unalakleet,M
2995,BB00,BW00,Unalakleet,F
3075,BB00,BW00,Unalakleet,F
3115,BB00,BW00,Unalakleet,M
3175,BB00,BW00,Unalakleet,M
3215,BB00,BW00,Unalakleet,M
3335,BB00,BW00,Unalakleet,M
3395,BB00,BW00,Unalakleet,F
3475,BB00,BW00,Unalakleet,M
3495,BB00,BW00,Unalakleet,M
3515,BB00,BW00,Unalakleet,M
3535,BB00,BW00,Unalakleet,F
3595,BB00,BW00,Unalakleet,M
3615,BB00,BW00,Unalakleet,M
3655,BB00,BW00,Unalakleet,M
3695,BB00,BW00,Unalakleet,F
3715,BB00,BW00,Unalakleet,M
3735,BB00,BW00,Unalakleet,F
3795,BB00,BW00,Unalakleet,F
3855,BB00,BW00,Unalakleet,M
3895,BB00,BW00,Unalakleet,M
3915,BB00,BW00,Unalakleet,F
3935,BB00,BW00,Unalakleet,M
3975,BB00,BW00,Unalakleet,M
270,BABB,BABW,Unalakleet,M
310,BABB,BABW,Unalakleet,M
475,BABB,BABW,Unalakleet,F
515,BABB,BABW,Unalakleet,F
615,BABB,BABW,Unalakleet,M
1055,BABB,BABW,Unalakleet,F
1155,BABB,BABW,Unalakleet,M
1195,BABB,BABW,Unalakleet,M
1255,BABB,BABW,Unalakleet,F
1315,BABB,BABW,Unalakleet,M
1695,BABB,BABW,Unalakleet,M
2355,BABB,BABW,Unalakleet,F
2915,BABB,BABW,Unalakleet,M
4015,ABB0,ABW0,Unalakleet,M
4035,ABB0,ABW0,Unalakleet,M
4135,ABB0,ABW0,Unalakleet,F
4155,ABB0,ABW0,Unalakleet,F
4250,ABB0,ABW0,Unalakleet,F
4255,ABB0,ABW0,Unalakleet,M
4270,ABB0,ABW0,Unalakleet,F
4275,ABB0,ABW0,Unalakleet,F
4295,ABB0,ABW0,Unalakleet,M
4315,ABB0,ABW0,Unalakleet,F
4335,ABB0,ABW0,Unalakleet,F
4375,ABB0,ABW0,Unalakleet,M
4415,ABB0,ABW0,Unalakleet,M
4435,ABB0,ABW0,Unalakleet,M
4470,ABB0,ABW0,Unalakleet,M
4475,ABB0,ABW0,Unalakleet,M
4495,ABB0,ABW0,Unalakleet,M
4515,ABB0,ABW0,Unalakleet,M
4535,ABB0,ABW0,Unalakleet,F
4550,ABB0,ABW0,Unalakleet,M
4555,ABB0,ABW0,Unalakleet,M
4575,ABB0,ABW0,Unalakleet,M
4595,ABB0,ABW0,Unalakleet,M
4615,ABB0,ABW0,Unalakleet,F
4655,ABB0,ABW0,Unalakleet,M
4675,ABB0,ABW0,Unalakleet,M
4695,ABB0,ABW0,Unalakleet,M
4710,ABB0,ABW0,Unalakleet,M
4735,ABB0,ABW0,Unalakleet,M
4755,ABB0,ABW0,Unalakleet,M
4775,ABB0,ABW0,Unalakleet,M
4795,ABB0,ABW0,Unalakleet,M
4815,ABB0,ABW0,Unalakleet,M
4835,ABB0,ABW0,Unalakleet,M
4850,ABB0,ABW0,Unalakleet,F
4855,ABB0,ABW0,Unalakleet,M
4875,ABB0,ABW0,Unalakleet,M
4895,ABB0,ABW0,Unalakleet,M
4935,ABB0,ABW0,Unalakleet,M
4955,ABB0,ABW0,Unalakleet,M
4995,ABB0,ABW0,Unalakleet,M
5030,ABB0,ABW0,Unalakleet,M
5035,ABB0,ABW0,Unalakleet,M
5070,ABB0,ABW0,Unalakleet,M
5075,ABB0,ABW0,Unalakleet,F
5175,ABB0,ABW0,Unalakleet,M
5190,ABB0,ABW0,Unalakleet,F
5195,ABB0,ABW0,Unalakleet,M
5215,ABB0,ABW0,Unalakleet,M
5235,ABB0,ABW0,Unalakleet,F
5255,ABB0,ABW0,Unalakleet,M
5270,ABB0,ABW0,Unalakleet,F
5295,ABB0,ABW0,Unalakleet,F
5310,ABB0,ABW0,Unalakleet,M
5315,ABB0,ABW0,Unalakleet,M
5335,ABB0,ABW0,Unalakleet,M
5410,ABB0,ABW0,Unalakleet,M
5450,ABB0,ABW0,Unalakleet,M
5470,ABB0,ABW0,Unalakleet,M
5510,ABB0,ABW0,Unalakleet,F
5515,ABB0,ABW0,Unalakleet,F
5535,ABB0,ABW0,Unalakleet,M
5555,ABB0,ABW0,Unalakleet,M
5575,ABB0,ABW0,Unalakleet,M
5595,ABB0,ABW0,Unalakleet,F
5655,ABB0,ABW0,Unalakleet,F
5735,ABB0,ABW0,Unalakleet,M
5795,ABB0,ABW0,Unalakleet,F
5815,ABB0,ABW0,Unalakleet,M
5915,ABB0,ABW0,Unalakleet,F
5955,ABB0,ABW0,Unalakleet,M
6055,ABB0,ABW0,Unalakleet,M
6095,ABB0,ABW0,Unalakleet,F
6115,ABB0,ABW0,Unalakleet,F
6135,ABB0,ABW0,Unalakleet,F
6175,ABB0,ABW0,Unalakleet,M
6575,ABB0,ABW0,Unalakleet,F
6755,ABB0,ABW0,Unalakleet,F
6815,ABB0,ABW0,Unalakleet,M
6955,ABB0,ABW0,Unalakleet,M
6995,ABB0,ABW0,Unalakleet,M
7015,ABB0,ABW0,Unalakleet,M
7135,ABB0,ABW0,Unalakleet,M
7215,ABB0,ABW0,Unalakleet,M
7235,ABB0,ABW0,Unalakleet,M
7395,ABB0,ABW0,Unalakleet,F
7415,ABB0,ABW0,Unalakleet,M
7475,ABB0,ABW0,Unalakleet,F
7835,ABB0,ABW0,Unalakleet,M
7955,ABB0,ABW0,Unalakleet,F
1010,BXBX,BXBX,Transitory,M
1435,BX00,BX00,Transitory,M
1835,BX00,BX00,Transitory,M
2055,BX00,BX00,Transitory,M
2455,BX00,BX00,Transitory,M
2535,BX00,BX00,Transitory,M
2835,BX00,BX00,Transitory,M
2895,BX00,BX00,Transitory,M
3995,BX00,BX00,Transitory,M
930,BAX0,BAX0,Transitory,M
1430,BAX0,BAX0,Transitory,M
1655,BAX0,BAX0,Transitory,M
2195,BAX0,BAX0,Transitory,F
3375,BABX,BABX,Transitory,M
1375,BABA,BAX0,Transitory,M
4690,AXAX,AXAX,Transitory,F
4630,AX00,AX00,Transitory,M
5055,AX00,AX00,Transitory,M
5150,AX00,AX00,Transitory,M
5835,AX00,AX00,Transitory,F
6375,AX00,AX00,Transitory,F
7675,AX00,AX00,Transitory,M
4175,ABX0,ABX0,Transitory,M
4235,ABX0,ABX0,Transitory,M
4355,ABX0,ABX0,Transitory,M
5095,ABX0,ABX0,Transitory,F
5415,ABX0,ABX0,Transitory,F
5475,ABX0,ABX0,Transitory,F
5495,ABX0,ABX0,Transitory,M
5675,ABX0,ABX0,Transitory,F
5715,ABX0,ABX0,Transitory,F
5875,ABX0,ABX0,Transitory,F
5995,ABX0,ABX0,Transitory,F
6335,ABX0,ABX0,Transitory,M
6415,ABX0,ABX0,Transitory,M
6635,ABX0,ABX0,Transitory,M
7055,ABX0,ABX0,Transitory,M
7695,ABX0,ABX0,Transitory,M
7895,ABX0,ABX0,Transitory,F
5355,ABAX,ABAX,Transitory,F
4350,AAAX,AWAX,Transitory,M
435,BAA0,BAW0,Shaktoolik,M
895,BAA0,BAW0,Shaktoolik,F
1175,BAA0,BAW0,Shaktoolik,M
1335,BAA0,BAW0,Shaktoolik,M
1675,BAA0,BAW0,Shaktoolik,M
2415,BAA0,BAW0,Shaktoolik,M
4750,AXAA,AXAW,Shaktoolik,M
7615,AXAA,AXAW,Shaktoolik,F
4190,ABAA,ABAW,Shaktoolik,F
4330,ABAA,ABAW,Shaktoolik,F
4635,ABAA,ABAW,Shaktoolik,M
4055,AA00,AW00,Shaktoolik,M
4075,AA00,AW00,Shaktoolik,M
4510,AA00,AW00,Shaktoolik,M
4530,AA00,AW00,Shaktoolik,F
4590,AA00,AW00,Shaktoolik,M
4610,AA00,AW00,Shaktoolik,M
4650,AA00,AW00,Shaktoolik,M
4810,AA00,AW00,Shaktoolik,M
4930,AA00,AW00,Shaktoolik,M
5275,AA00,AW00,Shaktoolik,F
5375,AA00,AW00,Shaktoolik,F
5615,AA00,AW00,Shaktoolik,F
5755,AA00,AW00,Shaktoolik,F
6015,AA00,AW00,Shaktoolik,M
6075,AA00,AW00,Shaktoolik,F
6215,AA00,AW00,Shaktoolik,F
6275,AA00,AW00,Shaktoolik,M
6315,AA00,AW00,Shaktoolik,F
6395,AA00,AW00,Shaktoolik,F
6475,AA00,AW00,Shaktoolik,F
6535,AA00,AW00,Shaktoolik,M
6555,AA00,AW00,Shaktoolik,M
6595,AA00,AW00,Shaktoolik,F
6655,AA00,AW00,Shaktoolik,M
6675,AA00,AW00,Shaktoolik,F
6695,AA00,AW00,Shaktoolik,F
6715,AA00,AW00,Shaktoolik,F
6875,AA00,AW00,Shaktoolik,M
6895,AA00,AW00,Shaktoolik,M
6935,AA00,AW00,Shaktoolik,F
6975,AA00,AW00,Shaktoolik,M
7035,AA00,AW00,Shaktoolik,M
7075,AA00,AW00,Shaktoolik,F
7115,AA00,AW00,Shaktoolik,M
7155,AA00,AW00,Shaktoolik,M
7175,AA00,AW00,Shaktoolik,M
7195,AA00,AW00,Shaktoolik,F
7295,AA00,AW00,Shaktoolik,M
7355,AA00,AW00,Shaktoolik,F
7815,AA00,AW00,Shaktoolik,F
7935,AA00,AW00,Shaktoolik,F
7975,AA00,AW00,Shaktoolik,M
130,BXB0,BXB0,NA,M
2390,BXB0,BXB0,NA,M
150,BBBA,BWBA,NA,M
750,BBB0,BWB0,NA,M
2695,BBB0,BWBA,NA,M
95,BAB0,BAB0,NA,M
455,BAB0,BAB0,NA,F
495,BAB0,BAB0,NA,M
635,BAB0,BAB0,NA,M
655,BAB0,BAB0,NA,F
695,BAB0,BAB0,NA,F
875,BAB0,BAB0,NA,M
1115,BAB0,BAB0,NA,M
1290,BAB0,BAB0,NA,M
1395,BAB0,BAB0,NA,M
1410,BAB0,BAB0,NA,F
1830,BAB0,BAB0,NA,F
1990,BAB0,BAB0,NA,F
3775,BAB0,BAB0,NA,F
2295,BAAA,BAWA,NA,M
115,BA00,BA00,NA,F
175,BA00,BA00,NA,M
235,BA00,BA00,NA,M
255,BA00,BA00,NA,F
370,BA00,BA00,NA,M
410,BA00,BA00,NA,F
915,BA00,BA00,NA,F
1250,BA00,BA00,NA,F
1295,BA00,BA00,NA,M
1355,BA00,BA00,NA,F
1415,BA00,BA00,NA,M
1555,BA00,BA00,NA,M
1790,BA00,BA00,NA,F
1930,BA00,BA00,NA,M
2675,BA00,BA00,NA,F
3575,BA00,BA00,NA,M
15,B000,B000,NA,M
35,B000,B000,NA,M
55,B000,B000,NA,M
135,B000,B000,NA,M
155,B000,B000,NA,F
170,B000,B000,NA,F
190,B000,B000,NA,F
230,B000,B000,NA,F
250,B000,B000,NA,F
290,B000,B000,NA,M
295,B000,B000,NA,M
315,B000,B000,NA,M
330,B000,B000,NA,M
335,B000,B000,NA,M
350,B000,B000,NA,M
355,B000,B000,NA,M
530,B000,B000,NA,F
550,B000,B000,NA,M
595,B000,B000,NA,M
730,B000,B000,NA,F
775,B000,B000,NA,M
790,B000,B000,NA,M
810,B000,B000,NA,F
830,B000,B000,NA,M
850,B000,B000,NA,M
855,B000,B000,NA,F
910,B000,B000,NA,M
950,B000,B000,NA,M
975,B000,B000,NA,M
990,B000,B000,NA,F
1050,B000,B000,NA,M
1150,B000,B000,NA,M
1170,B000,B000,NA,M
1190,B000,B000,NA,M
1230,B000,B000,NA,M
1270,B000,B000,NA,M
1330,B000,B000,NA,M
1475,B000,B000,NA,M
1490,B000,B000,NA,F
1530,B000,B000,NA,F
1550,B000,B000,NA,M
1570,B000,B000,NA,F
1590,B000,B000,NA,F
1595,B000,B000,NA,M
1610,B000,B000,NA,F
1670,B000,B000,NA,F
1690,B000,B000,NA,M
1710,B000,B000,NA,F
1715,B000,B000,NA,F
1750,B000,B000,NA,F
1810,B000,B000,NA,F
1850,B000,B000,NA,M
1890,B000,B000,NA,F
1895,B000,B000,NA,F
1910,B000,B000,NA,M
1935,B000,B000,NA,M
1950,B000,B000,NA,F
2050,B000,B000,NA,M
2070,B000,B000,NA,F
2075,B000,B000,NA,F
2095,B000,B000,NA,M
2110,B000,B000,NA,F
2190,B000,B000,NA,F
2210,B000,B000,NA,F
2230,B000,B000,NA,F
2250,B000,B000,NA,M
2270,B000,B000,NA,F
2275,B000,B000,NA,F
2310,B000,B000,NA,F
2370,B000,B000,NA,M
2410,B000,B000,NA,F
2430,B000,B000,NA,M
2435,B000,B000,NA,M
2450,B000,B000,NA,F
2470,B000,B000,NA,F
2490,B000,B000,NA,M
2595,B000,B000,NA,M
2635,B000,B000,NA,F
2655,B000,B000,NA,F
2755,B000,B000,NA,F
2875,B000,B000,NA,F
3015,B000,B000,NA,F
3035,B000,B000,NA,F
3055,B000,B000,NA,M
3095,B000,B000,NA,M
3135,B000,B000,NA,M
3155,B000,B000,NA,M
3195,B000,B000,NA,F
3235,B000,B000,NA,M
3255,B000,B000,NA,F
3275,B000,B000,NA,M
3295,B000,B000,NA,M
3315,B000,B000,NA,F
3355,B000,B000,NA,M
3415,B000,B000,NA,F
3435,B000,B000,NA,M
3455,B000,B000,NA,M
3555,B000,B000,NA,M
3675,B000,B000,NA,F
3755,B000,B000,NA,M
3815,B000,B000,NA,M
3835,B000,B000,NA,M
3875,B000,B000,NA,M
3955,B000,B000,NA,F
4570,AXAB,AXAB,NA,M
4670,AXAB,AXAB,NA,F
6615,AXAB,AXAB,NA,M
6775,AXA0,AXA0,NA,M
5110,ABXB,ABXB,NA,F
5210,ABXB,ABXB,NA,F
5855,ABXB,ABXB,NA,F
6835,ABAB,ABAB,NA,F
5350,ABA0,ABA0,NA,F
5435,ABA0,ABA0,NA,M
5695,ABA0,ABA0,NA,M
7495,ABA0,ABA0,NA,F
7655,ABA0,ABA0,NA,F
4110,AB00,AB00,NA,M
4130,AB00,AB00,NA,M
4150,AB00,AB00,NA,M
4195,AB00,AB00,NA,F
4290,AB00,AB00,NA,F
4370,AB00,AB00,NA,M
4395,AB00,AB00,NA,M
4450,AB00,AB00,NA,M
4455,AB00,AB00,NA,F
4490,AB00,AB00,NA,M
4715,AB00,AB00,NA,F
4770,AB00,AB00,NA,M
4790,AB00,AB00,NA,M
4830,AB00,AB00,NA,M
4910,AB00,AB00,NA,F
4970,AB00,AB00,NA,M
4990,AB00,AB00,NA,M
5010,AB00,AB00,NA,F
5015,AB00,AB00,NA,F
5115,AB00,AB00,NA,M
5130,AB00,AB00,NA,F
5135,AB00,AB00,NA,F
5170,AB00,AB00,NA,F
5230,AB00,AB00,NA,M
5290,AB00,AB00,NA,M
5330,AB00,AB00,NA,F
5370,AB00,AB00,NA,M
5390,AB00,AB00,NA,F
5395,AB00,AB00,NA,F
5430,AB00,AB00,NA,M
5490,AB00,AB00,NA,F
5530,AB00,AB00,NA,F
5775,AB00,AB00,NA,M
5895,AB00,AB00,NA,M
5935,AB00,AB00,NA,M
5975,AB00,AB00,NA,F
6155,AB00,AB00,NA,M
6235,AB00,AB00,NA,F
6255,AB00,AB00,NA,M
6295,AB00,AB00,NA,F
6355,AB00,AB00,NA,F
6515,AB00,AB00,NA,M
7255,AB00,AB00,NA,F
7275,AB00,AB00,NA,F
7315,AB00,AB00,NA,F
7335,AB00,AB00,NA,F
7375,AB00,AB00,NA,M
7435,AB00,AB00,NA,F
7515,AB00,AB00,NA,F
7535,AB00,AB00,NA,F
7555,AB00,AB00,NA,M
7575,AB00,AB00,NA,F
7635,AB00,AB00,NA,F
7715,AB00,AB00,NA,M
7875,AB00,AB00,NA,F
7995,AB00,AB00,NA,F
4215,AAAB,AWAB,NA,M
4170,A000,A000,NA,M
4210,A000,A000,NA,F
4230,A000,A000,NA,F
4310,A000,A000,NA,M
4390,A000,A000,NA,M
4410,A000,A000,NA,M
4430,A000,A000,NA,M
4730,A000,A000,NA,F
4870,A000,A000,NA,M
4890,A000,A000,NA,M
4950,A000,A000,NA,M
5050,A000,A000,NA,M
5090,A000,A000,NA,F
5155,A000,A000,NA,F
5250,A000,A000,NA,M
5455,A000,A000,NA,F
5550,A000,A000,NA,F
5635,A000,A000,NA,F
6035,A000,A000,NA,M
6195,A000,A000,NA,M
6435,A000,A000,NA,M
6455,A000,A000,NA,F
6495,A000,A000,NA,F
6735,A000,A000,NA,M
6855,A000,A000,NA,F
6915,A000,A000,NA,F
7595,A000,A000,NA,M
7735,A000,A000,NA,F
7755,A000,A000,NA,F
7775,A000,A000,NA,F
7915,A000,A000,NA,F
